t_lsl,t_rel,ox,oy,oz,dx,dy,dz
1908516.834987,21.730745,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908516.850987,21.746745,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908516.867987,21.763745,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908516.883987,21.779745,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908516.900987,21.796745,0.0075,-0.0023,-0.0332,0.5084,0.02,-0.8609
1908516.918987,21.814745,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908516.935987,21.831745,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908516.952987,21.848745,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908516.969987,21.865745,0.0075,-0.0023,-0.0332,0.5085,0.0202,-0.8608
1908516.985987,21.881745,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908517.002987,21.898745,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908517.020987,21.916745,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908517.034987,21.930745,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908517.050987,21.946745,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908517.067987,21.963745,0.0075,-0.0023,-0.0333,0.5083,0.0202,-0.8609
1908517.084987,21.980745,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908517.102987,21.998745,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908517.120987,22.016745,0.0075,-0.0023,-0.0333,0.5083,0.0202,-0.8609
1908517.135987,22.031745,0.0075,-0.0023,-0.0332,0.5083,0.0202,-0.8609
1908517.152987,22.048745,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908517.172987,22.068745,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908517.189987,22.085745,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908517.204987,22.100745,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908517.218987,22.114745,0.0075,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908517.250987,22.146745,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908517.268987,22.164745,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908517.286987,22.182745,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
