t_lsl,t_rel,ox,oy,oz,dx,dy,dz
1908496.848178,1.743937,0.0074,-0.0023,-0.0332,0.5083,0.0204,-0.8609
1908496.864178,1.759937,0.0074,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908496.880178,1.775937,0.0074,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908496.896178,1.791937,0.0074,-0.0023,-0.0332,0.5083,0.0202,-0.8609
1908496.912178,1.807937,0.0074,-0.0023,-0.0332,0.5084,0.0204,-0.8609
1908496.930178,1.825937,0.0074,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908496.947178,1.842937,0.0074,-0.0023,-0.0331,0.5084,0.0202,-0.8609
1908496.963178,1.858937,0.0074,-0.0023,-0.0331,0.5083,0.0203,-0.8609
1908496.980178,1.875937,0.0075,-0.0023,-0.0332,0.5083,0.0204,-0.8609
1908496.997178,1.892937,0.0075,-0.0024,-0.0332,0.5083,0.0203,-0.8609
1908497.013178,1.908937,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908497.030178,1.925937,0.0075,-0.0023,-0.0332,0.5083,0.0204,-0.8609
1908497.047178,1.942937,0.0075,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908497.063178,1.958937,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908497.080178,1.975937,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908497.096178,1.991937,0.0075,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908497.113178,2.008937,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908497.130178,2.025937,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908497.146178,2.041937,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908497.163178,2.058937,0.0075,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908497.180178,2.075937,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908497.197178,2.092937,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908497.214178,2.109937,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908497.229178,2.124937,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908497.245178,2.140937,0.0075,-0.0024,-0.0332,0.5083,0.0202,-0.8609
1908497.261178,2.156937,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908497.279178,2.174937,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908497.297178,2.192937,0.0075,-0.0024,-0.0332,0.5084,0.0201,-0.8609
1908497.312178,2.207937,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908497.329178,2.224937,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908497.347178,2.242937,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908497.363178,2.258937,0.0075,-0.0023,-0.0332,0.5084,0.0201,-0.8609
1908497.380178,2.275937,0.0075,-0.0024,-0.0332,0.5084,0.0201,-0.8609
1908497.397178,2.292937,0.0075,-0.0024,-0.0332,0.5083,0.0202,-0.8609
1908497.414178,2.309937,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908497.430178,2.325937,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908497.448178,2.343937,0.0075,-0.0023,-0.0332,0.5084,0.0201,-0.8609
1908497.463178,2.358937,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908497.480178,2.375937,0.0075,-0.0023,-0.0332,0.5084,0.0201,-0.8609
1908497.496178,2.391937,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908497.513178,2.408937,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908497.530178,2.425937,0.0075,-0.0024,-0.0332,0.5085,0.0202,-0.8608
1908497.548178,2.443937,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908497.562178,2.457937,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908497.577178,2.472937,0.0075,-0.0023,-0.0333,0.5083,0.0203,-0.8609
1908497.593178,2.488937,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908497.610178,2.505937,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908497.627178,2.522937,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908497.643178,2.538937,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908497.659178,2.554937,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908497.676178,2.571937,0.0075,-0.0024,-0.0333,0.5083,0.0201,-0.8609
1908497.693178,2.588937,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908497.709178,2.604937,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908497.726178,2.621937,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908497.743178,2.638937,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908497.761178,2.656937,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908497.778178,2.673937,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908497.794178,2.689937,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908497.811178,2.706937,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908497.828178,2.723937,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908497.847178,2.742937,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908497.863178,2.758937,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908497.880178,2.775937,0.0076,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908497.896178,2.791937,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908497.913178,2.808937,0.0075,-0.0023,-0.0333,0.5084,0.0204,-0.8609
1908497.930178,2.825937,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908497.947178,2.842937,0.0075,-0.0024,-0.0333,0.5084,0.0201,-0.8609
1908497.963178,2.858937,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908497.979178,2.874937,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908497.996178,2.891937,0.0075,-0.0024,-0.0333,0.5084,0.0204,-0.8609
1908498.013178,2.908937,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908498.029178,2.924937,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908498.046178,2.941937,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908498.063178,2.958937,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908498.079178,2.974937,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908498.095178,2.990937,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908498.111178,3.006937,0.0075,-0.0024,-0.0333,0.5083,0.0203,-0.8609
1908498.127178,3.022937,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908498.144178,3.039937,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908498.161178,3.056937,0.0075,-0.0023,-0.0333,0.5083,0.0203,-0.8609
1908498.180178,3.075937,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908498.198178,3.093937,0.0075,-0.0024,-0.0333,0.5083,0.0203,-0.8609
1908498.214178,3.109937,0.0075,-0.0023,-0.0333,0.5083,0.0203,-0.8609
1908498.229178,3.124937,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908498.245178,3.140937,0.0075,-0.0024,-0.0333,0.5084,0.0204,-0.8609
1908498.261178,3.156937,0.0075,-0.0024,-0.0333,0.5083,0.0204,-0.8609
1908498.278178,3.173937,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
