t_lsl,t_rel,ox,oy,oz,dx,dy,dz
1908491.989812,-3.114430,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908492.006812,-3.097430,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908492.023812,-3.080430,0.0075,-0.0024,-0.0333,0.5084,0.0204,-0.8609
1908492.040812,-3.063430,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908492.056812,-3.047430,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908492.073812,-3.030430,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908492.090812,-3.013430,0.0075,-0.0024,-0.0332,0.5085,0.0203,-0.8609
1908492.106812,-2.997430,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908492.122812,-2.981430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.139812,-2.964430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.156812,-2.947430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.173812,-2.930430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.190812,-2.913430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.206812,-2.897430,0.0075,-0.0024,-0.0332,0.5085,0.0202,-0.8609
1908492.223812,-2.880430,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908492.240812,-2.863430,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908492.257812,-2.846430,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908492.273812,-2.830430,0.0075,-0.0024,-0.0332,0.5085,0.0203,-0.8608
1908492.290812,-2.813430,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908492.306812,-2.797430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.323812,-2.780430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.340812,-2.763430,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908492.357812,-2.746430,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908492.372812,-2.731430,0.0075,-0.0024,-0.0333,0.5085,0.0202,-0.8608
1908492.388812,-2.715430,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908492.404812,-2.699430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.421812,-2.682430,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908492.439812,-2.664430,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908492.456812,-2.647430,0.0075,-0.0024,-0.0333,0.5083,0.0203,-0.8609
1908492.473812,-2.630430,0.0075,-0.0024,-0.0333,0.5084,0.0204,-0.8609
1908492.490812,-2.613430,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908492.506812,-2.597430,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908492.523812,-2.580430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.540812,-2.563430,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908492.555812,-2.548430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.573812,-2.530430,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908492.590812,-2.513430,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908492.606812,-2.497430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.623812,-2.480430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.640812,-2.463430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908492.659812,-2.444430,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908492.674812,-2.429430,0.0075,-0.0023,-0.0332,0.5084,0.0201,-0.8609
1908492.690812,-2.413430,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908492.704812,-2.399430,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908492.721812,-2.382430,0.0075,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908492.737812,-2.366430,0.0075,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908492.753812,-2.350430,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908492.772812,-2.331430,0.0075,-0.0024,-0.0332,0.5083,0.0203,-0.8609
1908492.786812,-2.317430,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908492.803812,-2.300430,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908492.820812,-2.283430,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908492.836812,-2.267430,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908492.852812,-2.251430,0.0075,-0.0023,-0.0333,0.5083,0.0203,-0.8609
1908492.869812,-2.234430,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908492.886812,-2.217430,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908492.902812,-2.201430,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908492.919812,-2.184430,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908492.935812,-2.168430,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908492.952812,-2.151430,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908492.970812,-2.133430,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908492.986812,-2.117430,0.0075,-0.0023,-0.0333,0.5085,0.0201,-0.8609
1908493.003812,-2.100430,0.0075,-0.0023,-0.0332,0.5085,0.0202,-0.8608
1908493.020812,-2.083430,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908493.037812,-2.066430,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908493.054812,-2.049430,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908493.071812,-2.032430,0.0074,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908493.088812,-2.015430,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908493.105812,-1.998430,0.0075,-0.0023,-0.0333,0.5084,0.0204,-0.8609
1908493.123812,-1.980430,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908493.139812,-1.964430,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908493.156812,-1.947430,0.0075,-0.0023,-0.0332,0.5084,0.0204,-0.8609
1908493.173812,-1.930430,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908493.189812,-1.914430,0.0074,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908493.206812,-1.897430,0.0074,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908493.223812,-1.880430,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908493.240812,-1.863430,0.0075,-0.0023,-0.0332,0.5084,0.0204,-0.8609
1908493.256812,-1.847430,0.0075,-0.0023,-0.0332,0.5084,0.0204,-0.8609
1908493.273812,-1.830430,0.0075,-0.0023,-0.0333,0.5083,0.0202,-0.8609
1908493.290812,-1.813430,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908493.306812,-1.797430,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908493.324812,-1.779430,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908493.342812,-1.761430,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908493.359812,-1.744430,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908493.371812,-1.732430,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908493.388812,-1.715430,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908493.404812,-1.699430,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908493.421812,-1.682430,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908493.438812,-1.665430,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908493.455812,-1.648430,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908493.472812,-1.631430,0.0075,-0.0023,-0.0333,0.5083,0.0203,-0.8609
1908493.487812,-1.616430,0.0075,-0.0024,-0.0333,0.5083,0.0203,-0.8609
1908493.502812,-1.601430,0.0075,-0.0024,-0.0333,0.5083,0.0203,-0.8609
1908493.519812,-1.584430,0.0075,-0.0023,-0.0333,0.5083,0.0203,-0.8609
1908493.536812,-1.567430,0.0075,-0.0024,-0.0333,0.5085,0.0203,-0.8608
1908493.553812,-1.550430,0.0075,-0.0023,-0.0333,0.5083,0.0204,-0.8609
