t,ox,oy,oz,dx,dy,dz
8123.878,-0.7004,0.4874,-0.042,-0.2531,0.2889,0.9233
8123.895,-0.7001,0.4874,-0.0419,-0.2503,0.2875,0.9245
8123.91,-0.6997,0.4873,-0.0419,-0.2474,0.2863,0.9256
8123.927,-0.6991,0.4874,-0.0418,-0.2421,0.2862,0.9271
8123.944,-0.6984,0.4874,-0.0417,-0.2359,0.2863,0.9286
8123.961,-0.6978,0.4875,-0.0416,-0.229,0.2873,0.9301
8123.978,-0.6973,0.4872,-0.0416,-0.2222,0.2874,0.9317
8123.996,-0.6966,0.4873,-0.0417,-0.2156,0.2866,0.9335
8124.012,-0.6959,0.4873,-0.0416,-0.2085,0.2871,0.935
8124.028,-0.6952,0.4873,-0.0416,-0.2008,0.287,0.9366
8124.045,-0.6945,0.4873,-0.0415,-0.1934,0.2865,0.9384
8124.061,-0.6938,0.4874,-0.0415,-0.186,0.2868,0.9398
8124.078,-0.693,0.4876,-0.0415,-0.1785,0.2873,0.9411
8124.095,-0.6922,0.4875,-0.0414,-0.1707,0.2879,0.9423
8124.112,-0.6915,0.4875,-0.0415,-0.1633,0.2875,0.9437
8124.127,-0.6908,0.4877,-0.0415,-0.156,0.2881,0.9448
8124.144,-0.69,0.4878,-0.0414,-0.1487,0.2894,0.9456
8124.16,-0.6893,0.4877,-0.0414,-0.1412,0.2901,0.9465
8124.177,-0.6886,0.4877,-0.0412,-0.1337,0.2907,0.9474
8124.193,-0.6879,0.4878,-0.0413,-0.1271,0.2911,0.9482
8124.21,-0.6872,0.4878,-0.0412,-0.121,0.2916,0.9489
8124.227,-0.6865,0.4879,-0.0411,-0.1155,0.2924,0.9493
8124.244,-0.6858,0.488,-0.041,-0.1096,0.2931,0.9498
8124.261,-0.6851,0.488,-0.0409,-0.1036,0.2936,0.9503
8124.277,-0.6845,0.4879,-0.0408,-0.0981,0.2937,0.9508
8124.294,-0.6839,0.488,-0.0407,-0.093,0.2938,0.9513
8124.311,-0.6833,0.488,-0.0406,-0.0884,0.2941,0.9517
8124.326,-0.6827,0.488,-0.0405,-0.084,0.2941,0.9521
8124.343,-0.6822,0.488,-0.0405,-0.0804,0.2938,0.9525
8124.359,-0.6818,0.4881,-0.0404,-0.0769,0.2938,0.9528
8124.376,-0.6812,0.4882,-0.0402,-0.0733,0.2948,0.9528
8124.395,-0.6808,0.4881,-0.04,-0.0699,0.2956,0.9528
8124.411,-0.6804,0.4881,-0.04,-0.0669,0.2959,0.9529
8124.428,-0.6799,0.4881,-0.0398,-0.0644,0.2958,0.9531
8124.443,-0.6795,0.4881,-0.0398,-0.0618,0.2959,0.9532
8124.459,-0.679,0.4881,-0.0397,-0.0593,0.296,0.9534
8124.476,-0.6785,0.4881,-0.0395,-0.0562,0.296,0.9535
8124.493,-0.678,0.4882,-0.0393,-0.0533,0.296,0.9537
8124.51,-0.6776,0.4882,-0.0392,-0.0506,0.296,0.9538
8124.527,-0.6771,0.4882,-0.0391,-0.0484,0.2959,0.954
8124.543,-0.6766,0.4882,-0.0391,-0.0457,0.2958,0.9542
8124.561,-0.676,0.4883,-0.039,-0.0428,0.2962,0.9542
8124.578,-0.6754,0.4882,-0.0389,-0.0395,0.2966,0.9542
8124.594,-0.6749,0.4883,-0.0387,-0.036,0.2967,0.9543
8124.611,-0.6744,0.4882,-0.0386,-0.0325,0.2972,0.9542
8124.627,-0.6739,0.4881,-0.0385,-0.0296,0.2978,0.9542
8124.645,-0.6734,0.4881,-0.0384,-0.0266,0.2975,0.9544
