t,ox,oy,oz,dx,dy,dz
8083.877,-0.7716,0.4944,-0.056,-0.5412,0.3235,0.7762
8083.895,-0.7716,0.4944,-0.056,-0.5412,0.3235,0.7762
8083.911,-0.7716,0.4945,-0.0561,-0.5411,0.3236,0.7762
8083.927,-0.7716,0.4944,-0.0562,-0.541,0.3238,0.7762
8083.945,-0.7716,0.4946,-0.0562,-0.5408,0.3241,0.7762
8083.963,-0.7717,0.4945,-0.0562,-0.5406,0.3246,0.7761
8083.98,-0.7717,0.4946,-0.0562,-0.5404,0.325,0.7761
8083.995,-0.7718,0.4945,-0.0562,-0.5403,0.3251,0.7761
8084.01,-0.7718,0.4945,-0.0562,-0.5405,0.3249,0.7761
8084.027,-0.7719,0.4945,-0.0563,-0.5407,0.3247,0.776
8084.043,-0.7719,0.4945,-0.0563,-0.5409,0.3249,0.7758
8084.059,-0.772,0.4945,-0.0563,-0.541,0.3251,0.7757
8084.076,-0.772,0.4945,-0.0563,-0.5411,0.325,0.7756
8084.093,-0.7721,0.4944,-0.0563,-0.5411,0.3248,0.7757
8084.11,-0.7721,0.4944,-0.0563,-0.5412,0.3246,0.7757
8084.126,-0.7721,0.4945,-0.0564,-0.5414,0.3246,0.7756
8084.143,-0.7721,0.4946,-0.0564,-0.5413,0.3251,0.7754
8084.161,-0.7722,0.4946,-0.0563,-0.5412,0.3252,0.7755
8084.177,-0.7722,0.4945,-0.0564,-0.541,0.3252,0.7756
8084.194,-0.7722,0.4944,-0.0564,-0.5409,0.3249,0.7758
8084.212,-0.7722,0.4945,-0.0564,-0.5407,0.3247,0.776
8084.228,-0.7723,0.4945,-0.0565,-0.5406,0.3248,0.7761
8084.245,-0.7723,0.4945,-0.0566,-0.5405,0.3252,0.776
8084.261,-0.7724,0.4946,-0.0566,-0.5404,0.3258,0.7757
8084.277,-0.7724,0.4945,-0.0566,-0.5407,0.326,0.7755
8084.294,-0.7724,0.4945,-0.0567,-0.5413,0.3253,0.7753
8084.311,-0.7724,0.4946,-0.0566,-0.5416,0.3253,0.7752
8084.327,-0.7723,0.4947,-0.0565,-0.5414,0.3262,0.7749
8084.344,-0.7723,0.4947,-0.0566,-0.5412,0.3252,0.7755
8084.361,-0.7724,0.4947,-0.0566,-0.541,0.3251,0.7756
8084.378,-0.7725,0.4947,-0.0566,-0.541,0.326,0.7752
8084.394,-0.7724,0.4945,-0.0566,-0.5412,0.3255,0.7753
8084.411,-0.7724,0.4946,-0.0566,-0.5411,0.325,0.7756
8084.427,-0.7724,0.4946,-0.0567,-0.5409,0.3249,0.7758
8084.445,-0.7725,0.4945,-0.0568,-0.541,0.325,0.7757
8084.461,-0.7724,0.4946,-0.0569,-0.5411,0.3256,0.7754
8084.478,-0.7724,0.4946,-0.0569,-0.5412,0.3258,0.7752
8084.494,-0.7723,0.4946,-0.0569,-0.5411,0.3258,0.7753
8084.512,-0.7723,0.4946,-0.0568,-0.5409,0.3261,0.7753
8084.528,-0.7723,0.4946,-0.057,-0.541,0.3259,0.7753
8084.544,-0.7723,0.4947,-0.057,-0.5412,0.3261,0.7751
8084.561,-0.7724,0.4947,-0.057,-0.5413,0.3267,0.7748
8084.577,-0.7724,0.4946,-0.057,-0.5417,0.3262,0.7747
8084.595,-0.7723,0.4947,-0.057,-0.5418,0.3267,0.7744
8084.611,-0.7723,0.4947,-0.057,-0.5416,0.3267,0.7745
8084.627,-0.7723,0.4946,-0.0571,-0.5418,0.326,0.7747
8084.645,-0.7723,0.4946,-0.0571,-0.5419,0.3264,0.7744
8084.661,-0.7722,0.4947,-0.0571,-0.5421,0.3265,0.7743
8084.679,-0.7721,0.4947,-0.057,-0.5419,0.3262,0.7746
8084.695,-0.772,0.4948,-0.0569,-0.5412,0.3262,0.775
8084.712,-0.7719,0.4947,-0.0569,-0.5405,0.3259,0.7756
8084.728,-0.7719,0.4946,-0.0569,-0.5401,0.3255,0.7761
8084.745,-0.7718,0.4947,-0.0569,-0.5397,0.3257,0.7763
8084.761,-0.7717,0.4947,-0.0569,-0.5394,0.3258,0.7765
8084.778,-0.7717,0.4947,-0.0568,-0.539,0.3258,0.7768
8084.795,-0.7716,0.4946,-0.0567,-0.5384,0.3258,0.7771
8084.811,-0.7716,0.4945,-0.0567,-0.5379,0.3255,0.7776
8084.828,-0.7716,0.4945,-0.0566,-0.5374,0.3252,0.7781
8084.845,-0.7717,0.4945,-0.0566,-0.5371,0.3249,0.7784
8084.861,-0.7716,0.4945,-0.0564,-0.537,0.3249,0.7785
8084.878,-0.7716,0.4945,-0.0563,-0.5369,0.3244,0.7788
8084.896,-0.7716,0.4944,-0.0563,-0.5366,0.3241,0.7791
8084.914,-0.7716,0.4943,-0.0562,-0.5363,0.3236,0.7795
8084.93,-0.7716,0.4942,-0.0561,-0.5361,0.3229,0.78
8084.945,-0.7715,0.4941,-0.056,-0.5358,0.322,0.7805
8084.96,-0.7714,0.4941,-0.0559,-0.5353,0.3214,0.7811
8084.976,-0.7714,0.4941,-0.0558,-0.5344,0.3209,0.782
8084.992,-0.7713,0.494,-0.0558,-0.5333,0.3207,0.7828
8085.008,-0.7712,0.494,-0.0557,-0.5324,0.3205,0.7834
8085.026,-0.7711,0.4939,-0.0557,-0.5314,0.3207,0.7841
8085.042,-0.7709,0.4939,-0.0556,-0.5301,0.3206,0.785
8085.06,-0.7707,0.4938,-0.0555,-0.5286,0.3202,0.7861
8085.077,-0.7705,0.4939,-0.0555,-0.5272,0.3198,0.7873
8085.093,-0.7703,0.4939,-0.0554,-0.5254,0.3197,0.7885
8085.11,-0.7701,0.4938,-0.0553,-0.5234,0.3205,0.7895
8085.127,-0.7698,0.4937,-0.0552,-0.5213,0.3204,0.7909
8085.145,-0.7696,0.4936,-0.0551,-0.5197,0.3199,0.7922
8085.162,-0.7693,0.4937,-0.055,-0.5181,0.3196,0.7934
8085.178,-0.7691,0.4938,-0.0548,-0.5161,0.3196,0.7947
8085.194,-0.7688,0.4937,-0.0547,-0.5138,0.319,0.7964
8085.21,-0.7687,0.4936,-0.0547,-0.512,0.3182,0.7979
8085.228,-0.7687,0.4935,-0.0546,-0.5107,0.3181,0.7987
8085.244,-0.7686,0.4934,-0.0546,-0.5102,0.3174,0.7994
8085.262,-0.7684,0.4934,-0.0544,-0.5094,0.3169,0.8
8085.278,-0.7682,0.4933,-0.0544,-0.5087,0.3166,0.8006
8085.294,-0.7681,0.4933,-0.0542,-0.5081,0.3162,0.8011
8085.311,-0.768,0.4932,-0.0541,-0.5075,0.3159,0.8017
8085.328,-0.7679,0.4931,-0.054,-0.507,0.3157,0.802
8085.344,-0.7678,0.4931,-0.0538,-0.5065,0.3154,0.8025
8085.361,-0.7677,0.4931,-0.0537,-0.5061,0.3149,0.8029
8085.378,-0.7676,0.4931,-0.0537,-0.5058,0.3146,0.8032
8085.395,-0.7676,0.4929,-0.0536,-0.5056,0.3143,0.8035
8085.411,-0.7676,0.4929,-0.0535,-0.5059,0.3135,0.8036
8085.428,-0.7675,0.4929,-0.0534,-0.506,0.3135,0.8035
8085.445,-0.7673,0.4929,-0.0533,-0.5063,0.3132,0.8034
8085.461,-0.7672,0.4928,-0.0532,-0.5062,0.3131,0.8035
8085.478,-0.7672,0.4929,-0.053,-0.5059,0.3131,0.8038
8085.494,-0.7671,0.4927,-0.053,-0.5061,0.3129,0.8037
8085.511,-0.7671,0.4927,-0.0528,-0.5061,0.3128,0.8037
8085.528,-0.767,0.4927,-0.0527,-0.5062,0.3126,0.8038
8085.544,-0.7669,0.4928,-0.0526,-0.506,0.3124,0.804
8085.561,-0.7668,0.4927,-0.0526,-0.5059,0.3123,0.8041
8085.578,-0.7667,0.4927,-0.0525,-0.5057,0.3121,0.8043
8085.595,-0.7666,0.4926,-0.0524,-0.5054,0.3121,0.8045
8085.611,-0.7666,0.4926,-0.0523,-0.5051,0.312,0.8047
8085.627,-0.7666,0.4926,-0.0523,-0.505,0.312,0.8048
8085.645,-0.7666,0.4926,-0.0523,-0.505,0.3119,0.8048
8085.661,-0.7666,0.4926,-0.0523,-0.5052,0.312,0.8047
8085.678,-0.7666,0.4926,-0.0522,-0.5054,0.312,0.8045
8085.694,-0.7667,0.4925,-0.0522,-0.5054,0.312,0.8045
8085.712,-0.7667,0.4925,-0.0522,-0.5059,0.312,0.8042
8085.728,-0.7667,0.4925,-0.0523,-0.5065,0.312,0.8038
8085.744,-0.7668,0.4925,-0.0523,-0.5072,0.3121,0.8034
8085.761,-0.7669,0.4926,-0.0524,-0.5082,0.3121,0.8027
8085.778,-0.767,0.4926,-0.0526,-0.5095,0.3124,0.8018
8085.794,-0.7672,0.4927,-0.0526,-0.5108,0.3127,0.8008
8085.811,-0.7673,0.4928,-0.0528,-0.5123,0.3132,0.7996
8085.827,-0.7675,0.4928,-0.0529,-0.5137,0.3136,0.7986
8085.844,-0.7676,0.4928,-0.0531,-0.5157,0.314,0.7972
8085.861,-0.7678,0.4929,-0.0533,-0.5174,0.3144,0.7959
8085.877,-0.768,0.4929,-0.0534,-0.5191,0.3148,0.7946
8085.895,-0.7682,0.4931,-0.0535,-0.5205,0.3156,0.7934
8085.911,-0.7683,0.4932,-0.0537,-0.5216,0.3167,0.7923
8085.929,-0.7685,0.493,-0.0539,-0.523,0.3173,0.7911
8085.944,-0.7686,0.4931,-0.054,-0.5246,0.3176,0.7899
8085.961,-0.7687,0.4933,-0.0541,-0.5258,0.3182,0.7889
8085.978,-0.7689,0.4933,-0.0543,-0.5267,0.3187,0.788
8085.996,-0.7692,0.4934,-0.0546,-0.5286,0.3185,0.7868
8086.012,-0.7695,0.4936,-0.0549,-0.5305,0.3196,0.7851
8086.028,-0.7697,0.4935,-0.0552,-0.5335,0.3196,0.7831
8086.044,-0.7699,0.4936,-0.0554,-0.5357,0.32,0.7814
8086.061,-0.7701,0.4937,-0.0555,-0.5379,0.3203,0.7798
8086.078,-0.7703,0.4939,-0.0557,-0.5396,0.3206,0.7785
8086.095,-0.7705,0.4939,-0.0559,-0.541,0.3209,0.7774
8086.109,-0.7707,0.494,-0.0562,-0.5424,0.321,0.7764
8086.126,-0.7708,0.494,-0.0564,-0.5431,0.3214,0.7757
8086.144,-0.771,0.4941,-0.0567,-0.544,0.3215,0.775
8086.16,-0.7711,0.4942,-0.057,-0.5448,0.322,0.7743
8086.178,-0.7713,0.4944,-0.0573,-0.5454,0.3228,0.7735
8086.193,-0.7715,0.4945,-0.0576,-0.5462,0.3237,0.7726
8086.209,-0.7717,0.4944,-0.0579,-0.5473,0.324,0.7717
8086.225,-0.7719,0.4946,-0.0581,-0.5483,0.3248,0.7706
8086.242,-0.772,0.4946,-0.0583,-0.5494,0.3254,0.7696
8086.259,-0.7721,0.4947,-0.0585,-0.5501,0.3262,0.7687
8086.276,-0.7724,0.4948,-0.0588,-0.5508,0.3271,0.7679
8086.293,-0.7726,0.4948,-0.059,-0.5519,0.328,0.7667
8086.311,-0.7728,0.4948,-0.0591,-0.5531,0.3282,0.7657
8086.327,-0.7729,0.4948,-0.0593,-0.5541,0.3281,0.765
8086.344,-0.7731,0.4948,-0.0594,-0.5547,0.328,0.7646
8086.361,-0.7732,0.4949,-0.0596,-0.5552,0.3281,0.7642
8086.378,-0.7733,0.495,-0.0597,-0.5556,0.3285,0.7638
8086.394,-0.7734,0.495,-0.0598,-0.5555,0.3291,0.7636
8086.411,-0.7736,0.4949,-0.06,-0.5557,0.3291,0.7635
8086.428,-0.7736,0.495,-0.0601,-0.5558,0.3292,0.7634
8086.445,-0.7737,0.495,-0.0603,-0.5557,0.3297,0.7632
8086.461,-0.7738,0.495,-0.0604,-0.5556,0.3303,0.763
8086.478,-0.774,0.4951,-0.0605,-0.556,0.3307,0.7626
8086.495,-0.7741,0.4952,-0.0606,-0.5563,0.3312,0.7621
8086.511,-0.7742,0.4952,-0.0606,-0.5566,0.3315,0.7618
8086.528,-0.7743,0.4951,-0.0607,-0.557,0.3315,0.7615
8086.544,-0.7744,0.4951,-0.0607,-0.5573,0.3313,0.7613
8086.56,-0.7745,0.4951,-0.0608,-0.5578,0.3312,0.761
8086.576,-0.7746,0.4952,-0.0609,-0.5582,0.3312,0.7607
8086.595,-0.7746,0.4952,-0.0609,-0.5585,0.3313,0.7605
8086.612,-0.7747,0.4952,-0.0609,-0.5585,0.3313,0.7605
8086.628,-0.7747,0.4952,-0.0609,-0.5585,0.3314,0.7604
8086.645,-0.7747,0.4951,-0.061,-0.5586,0.3315,0.7603
8086.661,-0.7747,0.4951,-0.061,-0.5586,0.3315,0.7603
8086.679,-0.7748,0.4952,-0.061,-0.5588,0.3315,0.7602
8086.695,-0.7748,0.4952,-0.0611,-0.5589,0.3315,0.7601
8086.711,-0.7748,0.4951,-0.0611,-0.5592,0.3313,0.7599
8086.727,-0.7748,0.4951,-0.0612,-0.5597,0.3312,0.7596
8086.745,-0.7748,0.4953,-0.0612,-0.5598,0.3315,0.7594
8086.762,-0.7748,0.4954,-0.0612,-0.5597,0.3319,0.7594
8086.778,-0.7749,0.4952,-0.0612,-0.5599,0.332,0.7591
8086.794,-0.7748,0.4952,-0.0613,-0.5608,0.3316,0.7586
8086.811,-0.7748,0.4954,-0.0612,-0.5612,0.3321,0.7581
8086.828,-0.7747,0.4953,-0.0611,-0.5614,0.3321,0.758
8086.845,-0.7746,0.4954,-0.0611,-0.5613,0.3316,0.7583
8086.861,-0.7746,0.4954,-0.0611,-0.5607,0.3318,0.7586
8086.878,-0.7747,0.4952,-0.0612,-0.5609,0.3315,0.7586
8086.894,-0.7746,0.4954,-0.0611,-0.5607,0.3313,0.7588
8086.911,-0.7746,0.4953,-0.0611,-0.5605,0.3311,0.759
8086.928,-0.7746,0.4953,-0.0611,-0.5603,0.3309,0.7593
8086.946,-0.7746,0.4953,-0.0611,-0.5604,0.3307,0.7593
8086.962,-0.7746,0.4952,-0.0611,-0.5607,0.3307,0.7591
8086.977,-0.7745,0.4953,-0.0611,-0.5608,0.3306,0.7591
8086.993,-0.7745,0.4953,-0.061,-0.5608,0.3306,0.7591
8087.011,-0.7745,0.4953,-0.061,-0.5606,0.3307,0.7592
8087.027,-0.7744,0.4954,-0.0609,-0.5604,0.3307,0.7593
8087.043,-0.7744,0.4953,-0.0609,-0.5603,0.3307,0.7594
8087.06,-0.7744,0.4953,-0.0609,-0.5601,0.3309,0.7594
8087.076,-0.7745,0.4952,-0.0609,-0.5604,0.3304,0.7594
8087.093,-0.7745,0.4953,-0.0608,-0.5604,0.3308,0.7593
8087.11,-0.7744,0.4952,-0.0608,-0.5606,0.3307,0.7592
8087.127,-0.7744,0.4952,-0.0607,-0.5603,0.3306,0.7595
8087.145,-0.7745,0.4952,-0.0607,-0.5604,0.3303,0.7595
8087.161,-0.7745,0.4951,-0.0607,-0.5606,0.3303,0.7593
8087.178,-0.7744,0.4952,-0.0606,-0.5609,0.33,0.7593
8087.194,-0.7744,0.4951,-0.0605,-0.561,0.3298,0.7593
8087.211,-0.7744,0.4951,-0.0605,-0.561,0.3296,0.7594
8087.228,-0.7743,0.4951,-0.0605,-0.5607,0.3296,0.7596
8087.245,-0.7743,0.4951,-0.0605,-0.5603,0.3298,0.7598
8087.261,-0.7743,0.495,-0.0604,-0.5599,0.3299,0.76
8087.278,-0.7743,0.495,-0.0604,-0.5598,0.3299,0.7601
8087.294,-0.7743,0.495,-0.0604,-0.5598,0.3297,0.7602
8087.311,-0.7743,0.495,-0.0604,-0.5597,0.3296,0.7603
8087.328,-0.7743,0.4951,-0.0603,-0.5596,0.3297,0.7604
8087.346,-0.7744,0.4951,-0.0603,-0.5596,0.3297,0.7604
8087.362,-0.7744,0.4951,-0.0604,-0.5598,0.3298,0.7602
8087.378,-0.7744,0.495,-0.0603,-0.56,0.3299,0.76
