t_lsl,t_rel,ox,oy,oz,dx,dy,dz
1908507.999578,12.895336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.016578,12.912336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908508.032578,12.928336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.049578,12.945336,0.0075,-0.0024,-0.0333,0.5084,0.0204,-0.8609
1908508.066578,12.962336,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908508.083578,12.979336,0.0075,-0.0023,-0.0332,0.5085,0.0201,-0.8608
1908508.099578,12.995336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908508.116578,13.012336,0.0075,-0.0023,-0.0333,0.5084,0.0205,-0.8609
1908508.133578,13.029336,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908508.148578,13.044336,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908508.166578,13.062336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.183578,13.079336,0.0075,-0.0023,-0.0333,0.5083,0.0203,-0.8609
1908508.201578,13.097336,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908508.215578,13.111336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908508.231578,13.127336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908508.247578,13.143336,0.0075,-0.0024,-0.0332,0.5083,0.0203,-0.8609
1908508.265578,13.161336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908508.283578,13.179336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.302578,13.198336,0.0075,-0.0023,-0.0332,0.5085,0.0202,-0.8608
1908508.317578,13.213336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908508.329578,13.225336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908508.346578,13.242336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908508.362578,13.258336,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908508.379578,13.275336,0.0075,-0.0023,-0.0332,0.5085,0.0202,-0.8608
1908508.397578,13.293336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908508.414578,13.310336,0.0075,-0.0024,-0.0332,0.5085,0.0203,-0.8608
1908508.430578,13.326336,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908508.447578,13.343336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908508.464578,13.360336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908508.485578,13.381336,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908508.499578,13.395336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908508.516578,13.412336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908508.533578,13.429336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908508.549578,13.445336,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908508.566578,13.462336,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908508.582578,13.478336,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908508.599578,13.495336,0.0075,-0.0024,-0.0333,0.5084,0.0204,-0.8609
1908508.615578,13.511336,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908508.632578,13.528336,0.0075,-0.0024,-0.0333,0.5083,0.0203,-0.8609
1908508.649578,13.545336,0.0074,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908508.667578,13.563336,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908508.683578,13.579336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908508.699578,13.595336,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908508.716578,13.612336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908508.732578,13.628336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908508.750578,13.646336,0.0075,-0.0024,-0.0332,0.5085,0.0203,-0.8608
1908508.766578,13.662336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908508.783578,13.679336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908508.799578,13.695336,0.0075,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908508.816578,13.712336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.833578,13.729336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.849578,13.745336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.866578,13.762336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.883578,13.779336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908508.899578,13.795336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.916578,13.812336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908508.933578,13.829336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.949578,13.845336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.966578,13.862336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.983578,13.879336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.999578,13.895336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.016578,13.912336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.034578,13.930336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.048578,13.944336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.064578,13.960336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908509.080578,13.976336,0.0075,-0.0024,-0.0332,0.5083,0.0202,-0.8609
1908509.097578,13.993336,0.0075,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908509.113578,14.009336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.129578,14.025336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.146578,14.042336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908509.163578,14.059336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.179578,14.075336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.196578,14.092336,0.0075,-0.0023,-0.0332,0.5084,0.0204,-0.8609
1908509.212578,14.108336,0.0075,-0.0024,-0.0332,0.5085,0.0203,-0.8609
1908509.230578,14.126336,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908509.246578,14.142336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.263578,14.159336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.279578,14.175336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.296578,14.192336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.314578,14.210336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.330578,14.226336,0.0075,-0.0024,-0.0333,0.5083,0.0202,-0.8609
1908509.348578,14.244336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908509.364578,14.260336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.380578,14.276336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908509.398578,14.294336,0.0075,-0.0024,-0.0333,0.5084,0.0204,-0.8609
1908509.415578,14.311336,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908509.433578,14.329336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908509.449578,14.345336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.466578,14.362336,0.0075,-0.0023,-0.0333,0.5083,0.0203,-0.8609
1908509.482578,14.378336,0.0075,-0.0023,-0.0333,0.5083,0.0203,-0.8609
1908509.499578,14.395336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908509.517578,14.413336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.532578,14.428336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908509.548578,14.444336,0.0076,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908509.563578,14.459336,0.0076,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908509.579578,14.475336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.596578,14.492336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.613578,14.509336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.630578,14.526336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.646578,14.542336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.662578,14.558336,0.0076,-0.0024,-0.0332,0.5083,0.0205,-0.8609
1908509.679578,14.575336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.696578,14.592336,0.0076,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.713578,14.609336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.731578,14.627336,0.0075,-0.0024,-0.0332,0.5083,0.0203,-0.8609
1908509.747578,14.643336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.764578,14.660336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908509.780578,14.676336,0.0075,-0.0024,-0.0332,0.5085,0.0205,-0.8608
1908509.799578,14.695336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.816578,14.712336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.833578,14.729336,0.0075,-0.0024,-0.0332,0.5085,0.0204,-0.8608
1908509.849578,14.745336,0.0075,-0.0024,-0.0332,0.5084,0.0205,-0.8609
1908509.866578,14.762336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.883578,14.779336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908509.900578,14.796336,0.0075,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908509.917578,14.813336,0.0075,-0.0024,-0.0332,0.5083,0.0205,-0.8609
1908509.933578,14.829336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908509.950578,14.846336,0.0075,-0.0024,-0.0332,0.5083,0.0203,-0.8609
1908509.966578,14.862336,0.0075,-0.0025,-0.0332,0.5084,0.0205,-0.8609
1908509.982578,14.878336,0.0075,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908509.999578,14.895336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
