t,ox,oy,oz,dx,dy,dz
203.88,0.0114,-0.3045,0.0563,0.0146,-0.9989,0.0447
203.898,0.0118,-0.3047,0.0563,0.0144,-0.999,0.0415
203.913,0.0121,-0.3046,0.0564,0.0153,-0.9991,0.0396
203.93,0.0122,-0.3042,0.0566,0.0162,-0.9993,0.0335
203.946,0.0122,-0.3048,0.0569,0.0183,-0.9993,0.032
203.963,0.0124,-0.3056,0.0571,0.017,-0.9993,0.034
203.979,0.0122,-0.3062,0.0572,0.0166,-0.9991,0.0385
203.997,0.012,-0.306,0.0574,0.0164,-0.9991,0.039
204.013,0.0121,-0.3057,0.0578,0.0145,-0.9993,0.0334
204.03,0.0123,-0.3063,0.0584,0.0147,-0.9994,0.0329
204.054,0.0126,-0.3075,0.0596,0.0113,-0.9992,0.0384
204.068,0.0125,-0.3085,0.0605,0.0122,-0.9987,0.0502
204.084,0.0123,-0.3085,0.0608,0.0133,-0.9979,0.0628
204.099,0.0131,-0.3086,0.0613,0.013,-0.9975,0.069
204.112,0.0135,-0.3095,0.0621,0.0143,-0.997,0.0755
204.127,0.0133,-0.3101,0.0629,0.0125,-0.996,0.089
204.143,0.012,-0.3095,0.0643,0.0106,-0.9955,0.0939
204.16,0.0115,-0.3112,0.0662,0.0147,-0.9948,0.1009
204.177,0.0107,-0.311,0.067,0.0086,-0.9932,0.1165
204.194,0.0109,-0.3113,0.0679,-0.0022,-0.9918,0.1274
204.21,0.01,-0.3118,0.0693,-0.0085,-0.9909,0.1342
204.227,0.0083,-0.313,0.0709,-0.0081,-0.9893,0.1457
204.242,0.0067,-0.3115,0.0717,-0.025,-0.988,0.1524
204.259,0.0077,-0.3143,0.0719,-0.0446,-0.9854,0.1645
204.277,0.009,-0.3158,0.0718,-0.0614,-0.9833,0.1711
204.293,0.0106,-0.3165,0.0708,-0.0707,-0.9848,0.1585
204.31,0.011,-0.3174,0.0727,-0.0646,-0.9884,0.1378
204.327,0.0103,-0.3166,0.071,-0.0505,-0.9934,0.1029
204.344,0.0107,-0.3174,0.0725,-0.0436,-0.9946,0.0946
204.361,0.0111,-0.3182,0.0696,-0.0421,-0.9954,0.0863
204.378,0.0113,-0.3173,0.0684,-0.0403,-0.9976,0.0556
204.396,0.0114,-0.3171,0.0671,-0.0251,-0.9995,0.0207
204.413,0.012,-0.3169,0.0674,-0.0106,-0.9999,-0.0083
204.43,0.0123,-0.3175,0.0669,-0.0007,-0.9998,-0.0182
204.447,0.0122,-0.3181,0.0655,0.0096,-0.9996,-0.025
204.463,0.0112,-0.3176,0.0638,0.019,-0.9989,-0.0422
204.479,0.0104,-0.3183,0.063,0.0337,-0.9976,-0.0608
204.496,0.0095,-0.317,0.0638,0.0443,-0.9958,-0.0806
204.513,0.009,-0.3177,0.0649,0.0531,-0.9944,-0.0917
204.531,0.0085,-0.3185,0.0651,0.0581,-0.9942,-0.091
204.546,0.0077,-0.319,0.0652,0.0606,-0.994,-0.0915
204.563,0.0055,-0.3187,0.0666,0.0626,-0.9939,-0.0911
204.58,0.0061,-0.3209,0.064,0.064,-0.9947,-0.0805
204.597,0.0042,-0.3193,0.0644,0.0695,-0.9947,-0.0764
204.613,0.0039,-0.3193,0.0637,0.0724,-0.9944,-0.0776
