t,ox,oy,oz,dx,dy,dz
3023.884,-0.5963,0.4756,-0.0533,0.2269,-0.1302,0.9652
3023.9,-0.5963,0.4757,-0.0532,0.2273,-0.1307,0.965
3023.918,-0.5963,0.4756,-0.0531,0.2276,-0.13,0.965
3023.934,-0.5963,0.4756,-0.0531,0.2277,-0.1296,0.9651
3023.95,-0.5962,0.4755,-0.0532,0.2281,-0.1297,0.965
3023.968,-0.5962,0.4755,-0.0532,0.2287,-0.1304,0.9647
3023.987,-0.5963,0.4756,-0.0532,0.229,-0.131,0.9646
3024.001,-0.5963,0.4756,-0.0532,0.2292,-0.1308,0.9646
3024.018,-0.5962,0.4756,-0.0532,0.2292,-0.1298,0.9647
3024.034,-0.5962,0.4754,-0.0532,0.2291,-0.1299,0.9647
3024.051,-0.5962,0.4754,-0.0532,0.2291,-0.1306,0.9646
3024.068,-0.5962,0.4755,-0.0532,0.2292,-0.1307,0.9646
3024.084,-0.5962,0.4755,-0.0533,0.2291,-0.131,0.9646
3024.101,-0.5962,0.4755,-0.0533,0.2289,-0.1308,0.9646
3024.118,-0.5962,0.4756,-0.0534,0.2287,-0.1312,0.9646
3024.134,-0.5962,0.4756,-0.0533,0.2286,-0.1306,0.9647
3024.151,-0.5961,0.4754,-0.0534,0.2284,-0.13,0.9649
3024.169,-0.5961,0.4754,-0.0534,0.2284,-0.1304,0.9648
3024.184,-0.5962,0.4754,-0.0534,0.2283,-0.1309,0.9648
3024.201,-0.5962,0.4754,-0.0533,0.2282,-0.1309,0.9648
3024.217,-0.5961,0.4753,-0.0535,0.228,-0.1307,0.9648
3024.233,-0.5961,0.4753,-0.0535,0.2281,-0.1312,0.9647
3024.25,-0.596,0.4753,-0.0535,0.2283,-0.1316,0.9647
3024.266,-0.596,0.4754,-0.0535,0.2285,-0.1316,0.9646
3024.284,-0.5959,0.4754,-0.0535,0.2289,-0.1311,0.9646
3024.299,-0.5959,0.4753,-0.0535,0.2291,-0.1308,0.9646
3024.316,-0.5959,0.4753,-0.0535,0.2293,-0.131,0.9645
3024.333,-0.5958,0.4752,-0.0535,0.2296,-0.1312,0.9644
3024.35,-0.5958,0.4753,-0.0536,0.2299,-0.1314,0.9643
3024.367,-0.5957,0.4753,-0.0537,0.2303,-0.1315,0.9642
3024.384,-0.5957,0.4753,-0.0535,0.2308,-0.131,0.9642
3024.401,-0.5957,0.4752,-0.0536,0.2309,-0.1308,0.9641
3024.417,-0.5956,0.4752,-0.0536,0.2311,-0.1313,0.964
3024.434,-0.5956,0.4752,-0.0537,0.2312,-0.1313,0.964
3024.451,-0.5956,0.4753,-0.0537,0.2311,-0.1312,0.964
3024.468,-0.5956,0.4751,-0.0537,0.231,-0.1313,0.9641
3024.484,-0.5955,0.4752,-0.0537,0.2311,-0.1316,0.964
3024.502,-0.5955,0.4751,-0.0538,0.2311,-0.132,0.9639
3024.517,-0.5955,0.4752,-0.0538,0.2311,-0.132,0.9639
3024.534,-0.5955,0.4752,-0.0539,0.2311,-0.1324,0.9639
3024.551,-0.5955,0.4753,-0.0539,0.2309,-0.1321,0.964
3024.567,-0.5955,0.4754,-0.0539,0.2309,-0.1315,0.964
3024.583,-0.5955,0.4753,-0.054,0.231,-0.1307,0.9641
3024.6,-0.5954,0.4753,-0.0541,0.231,-0.1309,0.9641
3024.617,-0.5954,0.4752,-0.0541,0.2307,-0.1305,0.9642
3024.634,-0.5953,0.4753,-0.0541,0.2306,-0.1307,0.9642
3024.65,-0.5953,0.4753,-0.0541,0.2307,-0.1305,0.9642
3024.668,-0.5952,0.4754,-0.0542,0.2312,-0.1312,0.964
3024.684,-0.5953,0.4754,-0.0543,0.2314,-0.1318,0.9639
3024.7,-0.5953,0.4756,-0.0542,0.2316,-0.1311,0.9639
3024.718,-0.5952,0.4754,-0.0543,0.2316,-0.1302,0.9641
3024.733,-0.5952,0.4753,-0.0544,0.2315,-0.1306,0.964
3024.751,-0.5952,0.4752,-0.0544,0.2318,-0.1322,0.9637
3024.769,-0.5952,0.4752,-0.0545,0.2319,-0.1326,0.9637
3024.783,-0.5952,0.4753,-0.0545,0.232,-0.1325,0.9636
3024.8,-0.5952,0.4752,-0.0546,0.2321,-0.1321,0.9637
3024.816,-0.5951,0.4752,-0.0546,0.2323,-0.1321,0.9636
3024.833,-0.5951,0.4753,-0.0547,0.2323,-0.1324,0.9636
3024.85,-0.5951,0.4755,-0.0547,0.2326,-0.1321,0.9636
3024.866,-0.5951,0.4754,-0.0548,0.2326,-0.1317,0.9636
3024.883,-0.5951,0.4753,-0.0548,0.2328,-0.1315,0.9636
3024.9,-0.5951,0.4753,-0.0549,0.2326,-0.1322,0.9635
3024.917,-0.5951,0.4753,-0.0549,0.2328,-0.1322,0.9635
3024.933,-0.595,0.4753,-0.0549,0.233,-0.1318,0.9635
3024.949,-0.595,0.4754,-0.055,0.2333,-0.1322,0.9634
3024.966,-0.595,0.4754,-0.055,0.2335,-0.1321,0.9633
3024.983,-0.5949,0.4754,-0.055,0.2338,-0.1317,0.9633
3025,-0.5948,0.4754,-0.0549,0.2343,-0.1314,0.9632
3025.018,-0.5948,0.4755,-0.055,0.2346,-0.1315,0.9632
3025.034,-0.5947,0.4753,-0.0549,0.235,-0.1316,0.963
3025.051,-0.5948,0.4753,-0.055,0.2352,-0.1322,0.9629
3025.067,-0.5947,0.4754,-0.055,0.2352,-0.1324,0.9629
3025.084,-0.5947,0.4754,-0.0549,0.235,-0.1321,0.963
3025.1,-0.5947,0.4755,-0.0549,0.2348,-0.1319,0.963
3025.117,-0.5947,0.4753,-0.0548,0.2347,-0.1314,0.9631
