t,ox,oy,oz,dx,dy,dz
173.88,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8518
173.896,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8519
173.911,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8519
173.928,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8518
173.945,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8518
173.963,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8518
173.979,0.6056,-0.5233,0.115,0.5222,-0.0418,-0.8518
173.996,0.6056,-0.5233,0.115,0.5221,-0.0418,-0.8519
174.021,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8518
174.037,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8519
174.049,0.6056,-0.5233,0.115,0.5221,-0.0418,-0.8518
174.06,0.6056,-0.5233,0.115,0.5221,-0.0418,-0.8519
174.076,0.6056,-0.5233,0.115,0.5222,-0.0418,-0.8518
174.093,0.6056,-0.5233,0.115,0.5222,-0.0419,-0.8518
174.11,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8519
174.127,0.6056,-0.5233,0.115,0.5222,-0.0418,-0.8518
174.144,0.6056,-0.5233,0.115,0.522,-0.0419,-0.8519
174.16,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8518
174.177,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8519
174.194,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8518
174.21,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8519
174.227,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8519
174.243,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8518
174.259,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8519
174.277,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8518
174.294,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8519
174.312,0.6056,-0.5233,0.115,0.5221,-0.0418,-0.8518
174.327,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8518
174.343,0.6056,-0.5233,0.115,0.5221,-0.0419,-0.8518
174.36,0.6056,-0.5234,0.115,0.5221,-0.0418,-0.8519
174.376,0.6056,-0.5233,0.1149,0.5221,-0.0419,-0.8519
174.394,0.6056,-0.5233,0.1149,0.5221,-0.042,-0.8519
174.411,0.6056,-0.5234,0.1149,0.5221,-0.0419,-0.8519
174.427,0.6056,-0.5234,0.1149,0.5221,-0.042,-0.8519
174.446,0.6056,-0.5234,0.1149,0.5221,-0.042,-0.8519
174.462,0.6056,-0.5234,0.1149,0.5221,-0.042,-0.8519
174.479,0.6056,-0.5233,0.1149,0.5221,-0.042,-0.8519
