t_lsl,t_rel,ox,oy,oz,dx,dy,dz
1908486.856092,-8.248150,0.0075,-0.0023,-0.0333,0.5084,0.02,-0.8609
1908486.872092,-8.232150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908486.889092,-8.215150,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908486.906092,-8.198150,0.0075,-0.0023,-0.0333,0.5083,0.0201,-0.861
1908486.923092,-8.181150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908486.940092,-8.164150,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908486.958092,-8.146150,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908486.975092,-8.129150,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908486.992092,-8.112150,0.0075,-0.0023,-0.0333,0.5083,0.0201,-0.8609
1908487.009092,-8.095150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908487.025092,-8.079150,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908487.040092,-8.064150,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908487.056092,-8.048150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908487.073092,-8.031150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908487.090092,-8.014150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908487.108092,-7.996150,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908487.125092,-7.979150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908487.141092,-7.963150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908487.158092,-7.946150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908487.175092,-7.929150,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908487.193092,-7.911150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908487.209092,-7.895150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908487.223092,-7.881150,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908487.240092,-7.864150,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908487.256092,-7.848150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908487.274092,-7.830150,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908487.293092,-7.811150,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908487.309092,-7.795150,0.0075,-0.0024,-0.0333,0.5083,0.0202,-0.8609
1908487.325092,-7.779150,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908487.339092,-7.765150,0.0075,-0.0024,-0.0333,0.5083,0.0203,-0.8609
1908487.357092,-7.747150,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908487.373092,-7.731150,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908487.388092,-7.716150,0.0075,-0.0024,-0.0333,0.5083,0.0203,-0.8609
1908487.405092,-7.699150,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908487.423092,-7.681150,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908487.440092,-7.664150,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908487.456092,-7.648150,0.0075,-0.0023,-0.0333,0.5083,0.0203,-0.8609
1908487.472092,-7.632150,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908487.489092,-7.615150,0.0076,-0.0024,-0.0333,0.5084,0.0202,-0.8609
