t,ox,oy,oz,dx,dy,dz
8073.878,-0.7479,0.4992,-0.0709,-0.5025,0.3211,0.8027
8073.895,-0.7478,0.4992,-0.0708,-0.5023,0.3216,0.8027
8073.91,-0.7478,0.4993,-0.0708,-0.5021,0.3221,0.8026
8073.926,-0.7478,0.4993,-0.0709,-0.502,0.3226,0.8024
8073.943,-0.7477,0.4994,-0.071,-0.5021,0.3226,0.8024
8073.961,-0.7477,0.4994,-0.071,-0.5019,0.3229,0.8024
8073.978,-0.7477,0.4993,-0.0709,-0.5018,0.3227,0.8026
8073.995,-0.7476,0.4993,-0.0711,-0.5019,0.3225,0.8026
8074.011,-0.7476,0.4994,-0.0711,-0.5019,0.3228,0.8025
8074.027,-0.7476,0.4994,-0.0711,-0.5019,0.323,0.8023
8074.045,-0.7476,0.4994,-0.0711,-0.502,0.3229,0.8024
8074.061,-0.7477,0.4994,-0.0712,-0.5023,0.3228,0.8022
8074.08,-0.7477,0.4994,-0.0712,-0.5023,0.323,0.8021
8074.096,-0.7477,0.4995,-0.0712,-0.5024,0.3233,0.8019
8074.111,-0.7478,0.4995,-0.0713,-0.5027,0.3236,0.8016
8074.128,-0.7479,0.4995,-0.0714,-0.5033,0.3238,0.8012
8074.144,-0.748,0.4995,-0.0715,-0.5042,0.3239,0.8005
8074.16,-0.7482,0.4995,-0.0716,-0.5053,0.3241,0.7998
8074.177,-0.7484,0.4994,-0.0717,-0.5071,0.324,0.7987
8074.193,-0.7485,0.4995,-0.0718,-0.5086,0.324,0.7977
8074.21,-0.7487,0.4995,-0.072,-0.5105,0.3237,0.7966
8074.227,-0.7491,0.4995,-0.0723,-0.513,0.3236,0.795
8074.243,-0.7495,0.4996,-0.0726,-0.5164,0.3239,0.7927
8074.259,-0.7499,0.4997,-0.0728,-0.5202,0.3246,0.79
8074.276,-0.7502,0.4996,-0.073,-0.5241,0.3248,0.7873
8074.293,-0.7505,0.4997,-0.0731,-0.5276,0.3249,0.7849
8074.31,-0.7508,0.4997,-0.0734,-0.5312,0.3252,0.7824
8074.328,-0.7512,0.4998,-0.0736,-0.5347,0.3257,0.7798
8074.345,-0.7516,0.4999,-0.0739,-0.5381,0.3266,0.7771
8074.361,-0.7519,0.4999,-0.0742,-0.5415,0.3275,0.7743
8074.377,-0.7523,0.4999,-0.0743,-0.5445,0.3285,0.7718
8074.395,-0.7526,0.4996,-0.0745,-0.5475,0.3283,0.7697
8074.412,-0.7528,0.4999,-0.0747,-0.5503,0.3279,0.7679
8074.428,-0.7531,0.5,-0.0749,-0.5525,0.3291,0.7658
8074.444,-0.7533,0.5,-0.0751,-0.5545,0.329,0.7644
8074.461,-0.7537,0.5,-0.0752,-0.5562,0.3284,0.7634
8074.478,-0.754,0.5,-0.0755,-0.5581,0.3291,0.7617
8074.494,-0.7543,0.4999,-0.0757,-0.5601,0.3291,0.7602
8074.511,-0.7545,0.4998,-0.076,-0.5624,0.328,0.759
8074.528,-0.7549,0.4998,-0.0762,-0.5646,0.3275,0.7576
8074.545,-0.7552,0.4998,-0.0765,-0.5666,0.3274,0.7562
8074.561,-0.7556,0.4998,-0.0768,-0.5689,0.3272,0.7545
8074.578,-0.7559,0.4998,-0.0771,-0.5716,0.3275,0.7523
8074.594,-0.7563,0.4998,-0.0774,-0.5747,0.3276,0.7499
8074.611,-0.7567,0.4998,-0.0777,-0.5779,0.3275,0.7475
8074.628,-0.7571,0.4998,-0.078,-0.5811,0.328,0.7448
8074.644,-0.7576,0.4999,-0.0784,-0.5845,0.3282,0.7421
8074.661,-0.7581,0.4999,-0.0787,-0.5879,0.3289,0.7391
8074.678,-0.7585,0.4999,-0.0792,-0.5918,0.3284,0.7362
8074.695,-0.7591,0.4999,-0.0796,-0.5957,0.3288,0.7328
8074.712,-0.7595,0.4999,-0.0799,-0.5997,0.3292,0.7294
8074.729,-0.76,0.5,-0.0802,-0.6035,0.3292,0.7262
8074.743,-0.7605,0.5001,-0.0806,-0.6071,0.3298,0.7229
8074.759,-0.7609,0.5,-0.081,-0.6107,0.3304,0.7197
8074.776,-0.7613,0.5001,-0.0812,-0.6139,0.3307,0.7168
8074.793,-0.7617,0.5,-0.0815,-0.6168,0.3309,0.7142
8074.81,-0.762,0.4999,-0.0817,-0.6193,0.3307,0.7121
8074.827,-0.7622,0.4999,-0.082,-0.6211,0.3301,0.7108
8074.845,-0.7625,0.5,-0.0823,-0.6225,0.3303,0.7095
8074.861,-0.7627,0.5,-0.0826,-0.6237,0.3306,0.7083
8074.877,-0.763,0.4999,-0.0828,-0.6246,0.3309,0.7074
8074.894,-0.7632,0.5001,-0.083,-0.6253,0.3312,0.7066
