utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765785438249,848175.415182,747.000000,no_session,
1765785437607,848175.415210,739.000000,no_session,
1765785438563,848176.371501,699.000000,no_session,
1765785439527,848177.335318,711.000000,no_session,
1765785440501,848178.308859,689.000000,no_session,
1765785440501,848178.308916,690.000000,no_session,
1765785441938,848179.746691,686.000000,no_session,
1765785442882,848180.690537,676.000000,no_session,
1765785442882,848180.690601,666.000000,no_session,
1765785443859,848181.668110,658.000000,no_session,
1765785443859,848181.668199,650.000000,no_session,
1765785444821,848182.629626,624.000000,no_session,
1765785445783,848183.591061,640.000000,no_session,
1765785445783,848183.591215,617.000000,no_session,
1765785446739,848184.548483,631.000000,no_session,
1765785447700,848185.508837,678.000000,no_session,
1765785447700,848185.508895,705.000000,no_session,
