utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765785733468,848470.630331,832.000000,no_session,
1765785733789,848471.592454,818.000000,no_session,
1765785734748,848472.551277,824.000000,no_session,
1765785735707,848473.510502,862.000000,no_session,
1765785735707,848473.510569,886.000000,no_session,
1765785736668,848474.471070,871.000000,no_session,
1765785737631,848475.434398,800.000000,no_session,
1765785738576,848476.379369,831.000000,no_session,
1765785739550,848477.353245,853.000000,no_session,
1765785740507,848478.309839,875.000000,no_session,
1765785740507,848478.309891,834.000000,no_session,
1765785741946,848479.749527,811.000000,no_session,
1765785742910,848480.712926,834.000000,no_session,
1765785743870,848481.673005,851.000000,no_session,
