timestamp,rr
731224.105,830.000
731225.068,858.000
731226.027,862.000
731226.988,843.000
731227.947,789.000
731227.947,824.000
731228.903,858.000
731229.867,824.000
731230.827,772.000
731231.787,786.000
731231.787,832.000
731233.224,844.000
731234.189,757.000
731235.142,787.000
731236.104,861.000
731237.067,854.000
731237.067,771.000
731238.026,814.000
731238.988,863.000
731239.948,886.000
731240.909,802.000
731241.865,870.000
731241.865,891.000
731242.826,803.000
731243.788,807.000
731245.230,858.000
731246.187,871.000
731247.133,791.000
731248.103,854.000
731248.103,882.000
731249.048,844.000
731250.010,801.000
731250.980,863.000
731251.928,898.000
731252.904,825.000
731253.862,864.000
731253.862,878.000
731254.824,839.000
731255.782,798.000
731257.211,855.000
731258.185,872.000
731259.143,799.000
731259.143,835.000
731260.102,876.000
731261.064,880.000
731262.025,791.000
731263.948,851.000
731263.948,856.000
731263.952,777.000
731264.905,782.000
731265.867,810.000
731267.786,858.000
731267.789,788.000
731267.789,809.000
731269.226,845.000
731270.169,828.000
