utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765787835439,850572.564624,713.000000,first_session,
1765787834798,850572.564696,705.000000,first_session,
1765787835759,850573.525861,731.000000,first_session,
1765787836719,850574.485679,733.000000,first_session,
1765787837683,850575.449567,707.000000,first_session,
1765787837683,850575.449737,686.000000,first_session,
1765787838644,850576.410098,695.000000,first_session,
1765787839605,850577.370938,691.000000,first_session,
1765787839605,850577.370989,718.000000,first_session,
1765787840563,850578.329667,705.000000,first_session,
1765787842003,850579.769509,706.000000,first_session,
1765787842962,850580.728656,713.000000,first_session,
1765787842963,850580.728779,719.000000,first_session,
1765787843905,850581.671392,731.000000,first_session,
1765787844882,850582.648841,711.000000,first_session,
1765787844883,850582.648900,730.000000,first_session,
1765787845844,850583.610096,730.000000,first_session,
