utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765786078599,848815.755217,666.000000,no_session,
1765786078918,848816.714718,637.000000,no_session,
1765786078918,848816.714771,637.000000,no_session,
1765786079876,848817.672545,641.000000,no_session,
1765786080835,848818.631911,642.000000,no_session,
1765786080835,848818.631974,658.000000,no_session,
1765786081796,848819.594016,665.000000,no_session,
1765786082755,848820.552514,645.000000,no_session,
1765786082755,848820.552577,670.000000,no_session,
1765786083716,848821.512794,668.000000,no_session,
1765786084678,848822.475074,677.000000,no_session,
1765786084678,848822.475305,673.000000,no_session,
1765786085638,848823.435407,647.000000,no_session,
1765786086595,848824.392678,651.000000,no_session,
1765786086595,848824.392734,655.000000,no_session,
1765786087556,848825.353214,661.000000,no_session,
1765786088517,848826.313607,674.000000,no_session,
1765786088517,848826.313661,645.000000,no_session,
