utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765787414470,850151.602569,727.000000,no_session,
1765787414791,850152.564845,741.000000,no_session,
1765787415740,850153.513520,735.000000,no_session,
1765787415740,850153.513589,729.000000,no_session,
1765787416707,850154.481268,692.000000,no_session,
1765787417670,850155.443166,742.000000,no_session,
1765787418632,850156.405648,743.000000,no_session,
1765787418632,850156.405704,786.000000,no_session,
1765787419588,850157.361409,797.000000,no_session,
1765787420537,850158.310499,731.000000,no_session,
1765787421990,850159.764184,765.000000,no_session,
