utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765786345485,849082.636998,652.000000,no_session,
1765786345804,849083.596938,707.000000,no_session,
1765786346763,849084.555775,783.000000,no_session,
1765786347721,849085.513630,800.000000,no_session,
1765786347721,849085.513687,750.000000,no_session,
1765786348684,849086.476410,759.000000,no_session,
1765786349645,849087.438252,779.000000,no_session,
1765786350604,849088.396358,805.000000,no_session,
1765786351565,849089.358172,826.000000,no_session,
1765786351566,849089.358241,841.000000,no_session,
1765786352525,849090.317708,805.000000,no_session,
1765786354924,849092.716745,784.000000,no_session,
1765786354927,849092.719932,808.000000,no_session,
1765786355883,849093.675566,819.000000,no_session,
1765786355883,849093.675622,812.000000,no_session,
