timestamp,rr
726834.784,701.000
726835.748,693.000
726835.748,655.000
726836.705,671.000
726837.667,681.000
726837.668,698.000
726839.108,721.000
726840.067,683.000
726841.024,708.000
726841.025,728.000
726841.983,766.000
726842.949,765.000
726843.906,710.000
726843.906,743.000
726844.863,749.000
726845.824,714.000
726845.824,728.000
726846.789,718.000
726847.745,726.000
726848.703,680.000
726848.703,706.000
726849.668,671.000
726851.107,704.000
726851.107,727.000
726852.063,744.000
726853.024,699.000
726853.971,727.000
726853.971,780.000
726854.945,762.000
726855.908,776.000
726856.866,778.000
726856.866,786.000
726857.826,722.000
726858.786,765.000
726859.746,758.000
726860.707,776.000
726860.707,728.000
726862.627,777.000
726863.105,766.000
726864.065,773.000
726864.065,714.000
726865.029,734.000
726865.987,737.000
726865.987,764.000
726866.947,715.000
