timestamp,rr
833211.829,623.000
833211.829,615.000
833212.791,612.000
833212.791,613.000
833213.750,608.000
833214.707,609.000
833214.707,615.000
833215.671,620.000
833216.632,615.000
833216.632,620.000
833217.588,625.000
833217.588,631.000
833218.549,634.000
833219.511,622.000
833219.511,625.000
833220.472,620.000
833221.431,620.000
833221.431,621.000
833222.392,621.000
833222.392,613.000
833223.827,610.000
833225.752,611.000
833225.752,611.000
833225.755,611.000
833225.755,618.000
833226.712,618.000
833227.670,613.000
833227.670,617.000
833228.632,621.000
833229.590,624.000
833229.590,624.000
833230.550,630.000
833230.550,622.000
833231.511,624.000
833232.472,628.000
833232.473,633.000
833233.429,635.000
833234.388,627.000
833234.388,630.000
833235.831,631.000
833235.832,624.000
833236.790,621.000
833237.752,624.000
833237.752,629.000
833238.709,630.000
