utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765786630594,849367.740817,772.000000,no_session,
1765786630933,849368.720966,761.000000,no_session,
1765786630933,849368.721031,731.000000,no_session,
1765786631873,849369.661425,712.000000,no_session,
1765786632855,849370.643109,729.000000,no_session,
1765786633808,849371.596287,733.000000,no_session,
1765786633808,849371.596353,721.000000,no_session,
1765786634768,849372.555731,692.000000,no_session,
1765786635713,849373.502193,673.000000,no_session,
1765786635713,849373.502207,698.000000,no_session,
1765786636690,849374.478857,697.000000,no_session,
1765786637648,849375.436582,727.000000,no_session,
1765786637648,849375.436597,697.000000,no_session,
1765786638611,849376.399337,725.000000,no_session,
1765786639571,849377.358839,728.000000,no_session,
1765786640530,849378.318873,736.000000,no_session,
1765786640530,849378.318945,746.000000,no_session,
