utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765783748136,846485.333803,697.000000,no_session,
1765783747495,846485.333923,712.000000,no_session,
1765783748933,846486.772289,691.000000,no_session,
1765783749894,846487.733262,712.000000,no_session,
1765783750857,846488.695583,733.000000,no_session,
1765783750857,846488.695702,760.000000,no_session,
1765783751817,846489.656317,786.000000,no_session,
1765783752779,846490.618241,756.000000,no_session,
1765783753732,846491.570739,786.000000,no_session,
1765783754695,846492.534114,806.000000,no_session,
1765783754695,846492.534281,810.000000,no_session,
1765783755654,846493.493288,771.000000,no_session,
1765783756615,846494.453722,801.000000,no_session,
1765783757572,846495.410935,830.000000,no_session,
1765783758532,846496.371186,837.000000,no_session,
1765783758532,846496.371242,807.000000,no_session,
1765783759494,846497.332648,792.000000,no_session,
1765783760935,846498.774156,823.000000,no_session,
1765783761894,846499.733092,828.000000,no_session,
1765783762854,846500.692781,799.000000,no_session,
1765783763816,846501.654482,789.000000,no_session,
1765783763816,846501.654551,816.000000,no_session,
1765783764779,846502.617974,818.000000,no_session,
1765783765737,846503.576278,798.000000,no_session,
1765783766694,846504.532548,777.000000,no_session,
1765783767658,846505.496535,819.000000,no_session,
1765783767658,846505.496612,826.000000,no_session,
