utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765785079213,847816.386956,706.000000,no_session,
1765785078571,847816.387029,688.000000,no_session,
1765785079531,847817.346989,657.000000,no_session,
1765785080490,847818.305180,646.000000,no_session,
1765785080490,847818.305203,699.000000,no_session,
1765785081929,847819.745097,699.000000,no_session,
1765785082892,847820.707629,701.000000,no_session,
1765785082892,847820.707809,682.000000,no_session,
1765785083850,847821.666286,702.000000,no_session,
1765785084811,847822.626139,708.000000,no_session,
1765785085771,847823.586238,716.000000,no_session,
1765785085771,847823.586295,724.000000,no_session,
1765785086730,847824.546230,686.000000,no_session,
1765785087689,847825.504746,688.000000,no_session,
1765785087689,847825.504803,689.000000,no_session,
1765785088651,847826.466979,697.000000,no_session,
1765785089611,847827.426481,710.000000,no_session,
1765785089611,847827.426539,717.000000,no_session,
