timestamp,rr
730942.823,771.000
730943.785,793.000
730943.785,742.000
730945.227,776.000
730946.166,774.000
730947.142,766.000
730947.142,738.000
730948.105,761.000
730949.062,774.000
730950.021,756.000
730950.021,744.000
730950.986,777.000
730951.943,788.000
730952.906,747.000
730952.906,780.000
730953.863,798.000
730954.821,788.000
730955.781,756.000
730957.224,791.000
730957.225,788.000
730958.180,764.000
730959.132,756.000
730960.106,771.000
730960.106,767.000
730961.049,728.000
730962.023,764.000
730962.983,779.000
730962.983,784.000
730963.944,739.000
730964.902,769.000
730965.865,765.000
730966.811,766.000
730966.811,752.000
730967.783,781.000
730969.226,788.000
730970.168,743.000
730970.169,759.000
730971.146,780.000
730972.103,774.000
730973.065,729.000
730973.065,752.000
730974.026,753.000
