utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765783826381,846563.576952,800.000000,no_session,
1765783826698,846564.535472,833.000000,no_session,
1765783827659,846565.497674,848.000000,no_session,
1765783827659,846565.497735,856.000000,no_session,
1765783828620,846566.458127,803.000000,no_session,
1765783829579,846567.417212,827.000000,no_session,
1765783831501,846569.338394,837.000000,no_session,
1765783831504,846569.341674,840.000000,no_session,
1765783832939,846570.777405,809.000000,no_session,
1765783832940,846570.777607,823.000000,no_session,
1765783834857,846572.694751,833.000000,no_session,
1765783834860,846572.697599,842.000000,no_session,
1765783835819,846573.656686,809.000000,no_session,
1765783836774,846574.612507,820.000000,no_session,
1765783837738,846575.576302,831.000000,no_session,
1765783837738,846575.576361,843.000000,no_session,
1765783838702,846576.538953,817.000000,no_session,
