utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765778300650,842264.703744,780.000000,no_session,
1765778300976,842265.671652,757.000000,no_session,
1765778300976,842265.671713,736.000000,no_session,
1765778301918,842266.612592,725.000000,no_session,
1765778302889,842267.584280,707.000000,no_session,
1765778303849,842268.544617,735.000000,no_session,
1765778304808,842269.502731,762.000000,no_session,
1765778304808,842269.502788,795.000000,no_session,
1765778305772,842270.466871,800.000000,no_session,
1765778306732,842271.426897,784.000000,no_session,
1765778307692,842272.387317,736.000000,no_session,
1765778307692,842272.387391,747.000000,no_session,
1765778308651,842273.346158,750.000000,no_session,
1765778309611,842274.306478,753.000000,no_session,
1765778311053,842275.747512,756.000000,no_session,
1765778311053,842275.747586,720.000000,no_session,
1765778312012,842276.707776,718.000000,no_session,
1765778312970,842277.664537,737.000000,no_session,
1765778312970,842277.664593,742.000000,no_session,
1765778313933,842278.628267,740.000000,no_session,
1765778314874,842279.568774,714.000000,no_session,
1765778315853,842280.547728,729.000000,no_session,
1765778315853,842280.547785,747.000000,no_session,
1765778316813,842281.507521,752.000000,no_session,
1765778317771,842282.466091,726.000000,no_session,
1765778318730,842283.425373,709.000000,no_session,
1765778318730,842283.425432,706.000000,no_session,
1765778319696,842284.390511,719.000000,no_session,
1765778320648,842285.342024,734.000000,no_session,
1765778320648,842285.342056,739.000000,no_session,
1765778322572,842287.266459,703.000000,no_session,
1765778323051,842287.745688,707.000000,no_session,
1765778324010,842288.705581,717.000000,no_session,
1765778324010,842288.705715,727.000000,no_session,
1765778325936,842290.630537,727.000000,no_session,
1765778325939,842290.633941,693.000000,no_session,
1765778325939,842290.634002,704.000000,no_session,
1765778326893,842291.588102,707.000000,no_session,
1765778327852,842292.546865,725.000000,no_session,
1765778329294,842293.988394,748.000000,no_session,
1765778329294,842293.988470,705.000000,no_session,
1765778329772,842294.467570,714.000000,no_session,
1765778330734,842295.429111,729.000000,no_session,
1765778330734,842295.429213,735.000000,no_session,
