utc_ms,lsl_ts,hr
1765775512258,839476.363462,92.000
1765775512579,839477.324290,91.000
1765775514021,839478.767507,90.000
1765775514974,839479.719953,90.000
1765775515936,839480.682279,90.000
1765775516897,839481.643853,91.000
1765775517858,839482.604322,92.000
1765775519296,839484.041439,92.000
1765775519772,839484.518362,91.000
1765775520740,839485.485119,91.000
1765775521697,839486.442902,90.000
1765775522658,839487.403248,90.000
1765775524582,839489.327863,88.000
1765775524586,839489.331135,88.000
1765775526019,839490.764167,88.000
