utc_ms,lsl_ts,hr
1765771156618,835120.804168,89.000
1765771156940,835121.767017,89.000
1765771157897,835122.724141,88.000
1765771158860,835123.687715,87.000
1765771159818,835124.645962,87.000
1765771160780,835125.607449,87.000
1765771161740,835126.567367,87.000
1765771162700,835127.527449,87.000
1765771163659,835128.486668,88.000
1765771164620,835129.446754,88.000
