timestamp,hr
726834.784,88.000
726835.748,88.000
726836.705,88.000
726837.667,88.000
726839.107,88.000
726840.067,88.000
726841.024,87.000
726841.983,87.000
726842.949,86.000
726843.906,84.000
726844.863,84.000
726845.823,84.000
726846.788,84.000
726847.744,83.000
726848.703,84.000
726849.668,84.000
726851.107,85.000
726852.063,85.000
726853.024,84.000
726853.971,84.000
726854.944,84.000
726855.907,83.000
726856.866,82.000
726857.826,81.000
726858.786,81.000
726859.745,81.000
726860.707,81.000
726862.627,80.000
726863.105,80.000
726864.065,80.000
726865.029,80.000
726865.987,80.000
726866.947,80.000
