utc_ms,lsl_ts,hr,session,session_start_utc_ms
1765786630593,849367.740695,78.000,no_session,
1765786630932,849368.720844,78.000,no_session,
1765786631873,849369.661260,79.000,no_session,
1765786632855,849370.643019,79.000,no_session,
1765786633808,849371.596145,80.000,no_session,
1765786634767,849372.555679,80.000,no_session,
1765786635713,849373.502160,81.000,no_session,
1765786636690,849374.478757,82.000,no_session,
1765786637648,849375.436548,83.000,no_session,
1765786638611,849376.399247,83.000,no_session,
1765786639570,849377.358737,83.000,no_session,
1765786640530,849378.318727,83.000,no_session,
