timestamp,hr
833211.829,96.000
833212.791,97.000
833213.750,97.000
833214.707,97.000
833215.670,97.000
833216.631,97.000
833217.588,97.000
833218.549,97.000
833219.511,96.000
833220.472,96.000
833221.431,96.000
833222.391,96.000
833223.827,97.000
833225.751,97.000
833225.755,97.000
833226.712,98.000
833227.670,97.000
833228.631,97.000
833229.590,97.000
833230.550,97.000
833231.511,97.000
833232.472,96.000
833233.429,96.000
833234.388,96.000
833235.831,96.000
833236.790,96.000
833237.752,96.000
833238.709,96.000
