utc_ms,lsl_ts,hr,session,session_start_utc_ms
1765778300650,842264.703584,79.000,no_session,
1765778300976,842265.671537,79.000,no_session,
1765778301918,842266.612478,79.000,no_session,
1765778302889,842267.584217,79.000,no_session,
1765778303849,842268.544527,80.000,no_session,
1765778304808,842269.502600,80.000,no_session,
1765778305772,842270.466767,80.000,no_session,
1765778306732,842271.426804,79.000,no_session,
1765778307692,842272.387186,79.000,no_session,
1765778308651,842273.346046,79.000,no_session,
1765778309611,842274.306346,79.000,no_session,
1765778311052,842275.747389,79.000,no_session,
1765778312012,842276.707674,80.000,no_session,
1765778312970,842277.664452,80.000,no_session,
1765778313934,842278.627914,80.000,no_session,
1765778314874,842279.568677,80.000,no_session,
1765778315853,842280.547623,81.000,no_session,
1765778316813,842281.507426,81.000,no_session,
1765778317771,842282.465964,81.000,no_session,
1765778318730,842283.425280,81.000,no_session,
1765778319695,842284.390373,82.000,no_session,
1765778320647,842285.341984,82.000,no_session,
1765778322572,842287.266366,82.000,no_session,
1765778323051,842287.745577,82.000,no_session,
1765778324011,842288.705473,83.000,no_session,
1765778325935,842290.630396,83.000,no_session,
1765778325939,842290.633847,83.000,no_session,
1765778326893,842291.587844,83.000,no_session,
1765778327852,842292.546717,83.000,no_session,
1765778329294,842293.988213,83.000,no_session,
1765778329773,842294.467410,83.000,no_session,
1765778330734,842295.428888,83.000,no_session,
