utc_ms,lsl_ts,hr,session,session_start_utc_ms
1765783327162,846064.367630,81.000,no_session,
1765783327484,846065.330314,81.000,no_session,
1765783328924,846066.770659,81.000,no_session,
1765783329884,846067.729806,81.000,no_session,
1765783330845,846068.690585,81.000,no_session,
1765783331806,846069.652266,81.000,no_session,
1765783332766,846070.612224,80.000,no_session,
1765783333726,846071.571852,79.000,no_session,
1765783334684,846072.530820,78.000,no_session,
1765783335643,846073.489844,77.000,no_session,
1765783336609,846074.454350,77.000,no_session,
1765783337567,846075.412846,77.000,no_session,
1765783338526,846076.371550,77.000,no_session,
1765783339488,846077.334058,77.000,no_session,
1765783340924,846078.769784,77.000,no_session,
1765783341887,846079.733839,77.000,no_session,
1765783342847,846080.692776,77.000,no_session,
1765783343802,846081.647929,77.000,no_session,
1765783344767,846082.613272,77.000,no_session,
1765783345726,846083.572678,78.000,no_session,
1765783346691,846084.536358,78.000,no_session,
1765783347643,846085.489265,78.000,no_session,
1765783348608,846086.454030,79.000,no_session,
1765783349568,846087.413876,80.000,no_session,
1765783350522,846088.367539,81.000,no_session,
1765783351482,846089.328120,81.000,no_session,
1765783352926,846090.772379,80.000,no_session,
1765783354847,846092.692747,80.000,no_session,
1765783354851,846092.696211,80.000,no_session,
1765783355806,846093.652276,79.000,no_session,
1765783356764,846094.609275,79.000,no_session,
1765783357727,846095.572452,79.000,no_session,
1765783358687,846096.533018,79.000,no_session,
1765783360609,846098.453862,79.000,no_session,
1765783360609,846098.455264,79.000,no_session,
1765783361565,846099.411304,79.000,no_session,
1765783362526,846100.371827,79.000,no_session,
