utc_ms,lsl_ts,hr,session,session_start_utc_ms
1765785799233,848536.393386,81.000,no_session,
1765785800512,848538.314555,82.000,no_session,
1765785800514,848538.317658,83.000,no_session,
1765785801951,848539.753935,84.000,no_session,
1765785802909,848540.711498,84.000,no_session,
1765785803867,848541.668914,83.000,no_session,
1765785805789,848543.591335,83.000,no_session,
1765785805790,848543.592533,83.000,no_session,
1765785806748,848544.550207,82.000,no_session,
1765785807707,848545.509792,82.000,no_session,
1765785808668,848546.470423,82.000,no_session,
1765785809631,848547.432679,82.000,no_session,
