utc_ms,lsl_ts,hr,session,session_start_utc_ms
1765786078599,848815.754945,89.000,no_session,
1765786078917,848816.714626,90.000,no_session,
1765786079875,848817.672382,90.000,no_session,
1765786080834,848818.631812,91.000,no_session,
1765786081796,848819.593860,91.000,no_session,
1765786082754,848820.552410,91.000,no_session,
1765786083715,848821.512649,91.000,no_session,
1765786084678,848822.474903,91.000,no_session,
1765786085637,848823.435305,91.000,no_session,
1765786086595,848824.392493,91.000,no_session,
1765786087556,848825.353107,91.000,no_session,
1765786088516,848826.313512,91.000,no_session,
