utc_ms,lsl_ts,hr,session,session_start_utc_ms
1765783826380,846563.576775,78.000,no_session,
1765783826698,846564.535255,77.000,no_session,
1765783827659,846565.497564,76.000,no_session,
1765783828620,846566.457965,76.000,no_session,
1765783829579,846567.417086,75.000,no_session,
1765783831500,846569.338284,75.000,no_session,
1765783831504,846569.341595,75.000,no_session,
1765783832939,846570.777289,74.000,no_session,
1765783834856,846572.694658,74.000,no_session,
1765783834860,846572.697529,74.000,no_session,
1765783835819,846573.656512,74.000,no_session,
1765783836774,846574.612472,74.000,no_session,
1765783837738,846575.576196,74.000,no_session,
1765783838701,846576.538811,73.000,no_session,
