utc_ms,lsl_ts,hr,session,session_start_utc_ms
1765785733468,848470.630013,85.000,no_session,
1765785733789,848471.592355,83.000,no_session,
1765785734748,848472.551188,82.000,no_session,
1765785735707,848473.510382,80.000,no_session,
1765785736668,848474.470943,79.000,no_session,
1765785737631,848475.434304,78.000,no_session,
1765785738576,848476.379250,77.000,no_session,
1765785739550,848477.353134,77.000,no_session,
1765785740507,848478.309754,76.000,no_session,
1765785741946,848479.749347,75.000,no_session,
1765785742910,848480.712830,75.000,no_session,
1765785743870,848481.672915,75.000,no_session,
