timestamp,hr
731224.105,75.000
731225.068,74.000
731226.027,74.000
731226.987,73.000
731227.947,73.000
731228.902,73.000
731229.867,73.000
731230.827,73.000
731231.787,73.000
731233.224,74.000
731234.189,73.000
731235.142,74.000
731236.104,74.000
731237.067,73.000
731238.026,74.000
731238.988,74.000
731239.948,74.000
731240.908,73.000
731241.865,73.000
731242.826,72.000
731243.788,72.000
731245.230,72.000
731246.186,72.000
731247.133,72.000
731248.103,72.000
731249.048,72.000
731250.010,72.000
731250.980,72.000
731251.928,72.000
731252.904,71.000
731253.862,71.000
731254.824,71.000
731255.782,71.000
731257.211,71.000
731258.185,71.000
731259.143,71.000
731260.102,71.000
731261.064,71.000
731262.025,71.000
731263.948,71.000
731263.951,71.000
731264.905,71.000
731265.867,72.000
731267.785,72.000
731267.789,72.000
731269.226,73.000
731270.168,73.000
