utc_ms,lsl_ts,hr,session,session_start_utc_ms
1765787835439,850572.564430,82.000,first_session,
1765787835759,850573.525772,82.000,first_session,
1765787836719,850574.485596,82.000,first_session,
1765787837683,850575.449476,82.000,first_session,
1765787838644,850576.410013,83.000,first_session,
1765787839605,850577.370836,84.000,first_session,
1765787840563,850578.329565,84.000,first_session,
1765787842002,850579.769386,84.000,first_session,
1765787842962,850580.728437,84.000,first_session,
1765787843905,850581.671312,84.000,first_session,
1765787844883,850582.648729,84.000,first_session,
1765787845844,850583.609960,84.000,first_session,
