utc_ms,lsl_ts,hr,session,session_start_utc_ms
1765786345486,849082.636847,87.000,no_session,
1765786345804,849083.596844,88.000,no_session,
1765786346763,849084.555678,88.000,no_session,
1765786347721,849085.513535,85.000,no_session,
1765786348684,849086.476292,84.000,no_session,
1765786349645,849087.438164,84.000,no_session,
1765786350604,849088.396258,83.000,no_session,
1765786351565,849089.358059,81.000,no_session,
1765786352525,849090.317568,80.000,no_session,
1765786354924,849092.716625,80.000,no_session,
1765786354927,849092.719862,79.000,no_session,
1765786355883,849093.675468,78.000,no_session,
