utc_ms,lsl_ts,hr
1765773748207,837712.345610,96.000
1765773747567,837712.346671,97.000
1765773749007,837713.786761,97.000
1765773749965,837714.744858,96.000
1765773750930,837715.709568,94.000
1765773751889,837716.668976,91.000
1765773752848,837717.628310,91.000
1765773753807,837718.587204,90.000
1765773754767,837719.547226,89.000
1765773755728,837720.508330,89.000
1765773756687,837721.466784,89.000
1765773757647,837722.426360,88.000
1765773758609,837723.388346,88.000
1765773759568,837724.348221,89.000
1765773761009,837725.789249,90.000
1765773761968,837726.747421,90.000
1765773762926,837727.705245,90.000
1765773763889,837728.667848,89.000
1765773764849,837729.629564,88.000
1765773765810,837730.589366,87.000
1765773766770,837731.549437,87.000
1765773767730,837732.509947,87.000
1765773768690,837733.469793,88.000
